nom|prix|etoile|avis
L'As du Fallafel|1|5|Located in one of my favourite areas in Paris, l'As du Fallafel has been around for ages. They do not have tables, you will have to grab your sandwich and eat it on the go, or find a park nearby to sit (I personally sat at Place des Vosges). I waited about 45 minutes in line in order to get my sandwich. One of the employees will get your order, give you a paper and make you pay, but you might have to wait another 30 minutes before you actually get your food.Despite the long wait, I have to say this was one of the best falafel sandwiches I've ever had in my entire life. The falafel balls were crispy, the sauce is delightful and they add some eggplant in the sandwich which makes it even better. I cannot wait to go back to Paris and try different things on their menu. This place is a must try!
L'As du Fallafel|1|4|Délicieux falafels vegans
L'As du Fallafel|1|3|Bon ok la rue des rosiers. Fait la voir et fait savoir et pas oublier. Bon ces falafels ils sont bons ça va mais WTF si you really have to wait like forever ans a half for it? Les gens des fois sont bêtes.
L'As du Fallafel|1|4|Date de l'expérience : janvier 2021
L'As du Fallafel|1|3|Je ne sais pas. Je ne suis pas super convaincue. J'ai trouvé ça bon, mais sans être transcendée non plus. Peut être lié à la sauce je pense qui m'a laissé un goût assez amer en bouche. Je ne saurai l'expliquer mais j'ai pas été totalement séduite. C'est dommage parce que j'adore ça mais vous trouverez de bien meilleures adresses où manger des fallafels dans Paris.
L'As du Fallafel|1|5|FR: Ca vaut absolument la peine! A savoir: il ouvre ses portes vers 11h donc faut mieux etre dans la zone a cette heure la comme ca tu evites la queue -- qui est assez longue et, commencant vers 1130/12h, continue jusqu'au soir ! EN: Absolutely worth it!!! Note: the place opens at 11 so it's definitely better to be in the area around that time so you avoid the massive line that starts at 1130/12 and goes until nighttime! A personal favorite, and it's loved by both locals and tourists so know that it is NOT a 'tourist trap' :)
L'As du Fallafel|1|5|Super délicieux et vraiment cochon. Un spot à visiter définitivement! Le plus rapide c'est de commander son sandwich à emporter et de le manger dans un parc. Les portions sont suffisantes et même super pour le prix!
L'As du Fallafel|1|3|Deux ans que je travaille à 300 m, il fallait bien que je finisse par trainer mes quenottes du coté de l'As du Falafel !Pas déçu du détour mais pas époustouflé non plus. Les falafels soggggenenenen bedne ggcx nt bonnes, la pita excellente !Une organisation à toute épreuve. La commande est prise et réglée pendant que vous faites la queue. Le temps d'arriver au comptoir et on vous la temps ! Ça déménage !
L'As du Fallafel|1|4|Restaurant incontournable à Paris, à faire une fois dans sa vie ! Autant se le dire pour y manger ça se mérite, peu importe l'heure il faut patienter de longues minutes avant de pouvoir manger ! Mais au final un repas au top, le service est efficace et bien rodé et surtout c'est tout est très très bon !
L'As du Fallafel|1|5|Le meilleur selon moi. Et cacher beth din.Beaucoup de débit. De ce fait les produits sont tres frais. Les pitots sont très bien garnies.Testées depuis bien longtemps:Pita felafelPita shouarmaPita schnitzelPita keftaLes prix (à emporter) sont corrects.Par contre pour s'atabler...c'est bondé.Je viens regulierement deguster un felafel de l'As.Je le recommande
Angelina|3|5|J'ai juste goûté le chocolat chaud de chez Angelina et je peux vous dire que ça en vaut le détour car il était excellent !Le lieu y est agréable même si les gens font la file pour pouvoir s'y installer.La présentation des pâtisseries donne envie de tous les manger car ils ont l'air super bons ! C'est sûr que la prochaine fois que j'y retourne je m'installerai à l'intérieur quitte à attendre un peu ça vaut la peine :-)
Angelina|3|4|Éclair au chocolat
Angelina|3|5|We had lunch at the Angelina's in Versailles and it was fabulous! Even better than the food was the excellent service of all the staff.
Angelina|3|1|Ne vous fiez pas aux images qui donnent envie comme j'ai pu moi être tentée : sans aucun goût.
Angelina|3|5|Date de l'expérience : janvier 2020
Angelina|3|4|A chaque visite on se sent touriste dans notre propre ville , avec l'avantage d'avoir des pâtisseries bien de chez nous et très bien réalisés, c'est définitivement un de ces établissements réputés qui a le niveau de ses prétentions ! Josiane reviendra encore et encore
